Cluster_Topic_Id,Keywords_Cluster_KeyBert,Count_Posts_Facebook,Count_Unique_User_Id_Facebook,Set_User_Id_Facebook,Count_Posts_Instagram,Count_Unique_User_Id_Instagram,Set_User_Id_Instagram,Count_Posts_YouTube,Count_Unique_User_Id_YouTube,Set_User_Id_YouTube,Count_Posts_Twitter,Count_Unique_User_Id_Twitter,Set_User_Id_Twitter,Count_Posts_Telegram,Count_Unique_User_Id_Telegram,Set_User_Id_Telegram,Count_Unique_Cluster_User_Id,Count_Cluster_Posts,Original_Count(To_verify)
0,"['donatelife', 'donatelifevt org', 'donate life', 'donatelifemonth', 'donatelifevt', 'donatelife rt', 'today donatelife', 'donatelifecdt', 'rt donatelifecdt', 'donatelifeco']",11,9,"{'100063747933892', '100063701144816', '100063667595963', '100064287213636', '61556071432072', '100063871602881', '100050225240833', '100063522489879', '100063952714023'}",49,9,"{'31106924641', '6672372001', '12586824588', '42773412485', '34324366', '225193095', '18268291', '8554101042', '3195918348'}",11,11,"{'C8g9Y6Z9HG0', 'zbueGgTutl4', 'UAAXNW0_9qA', 'B6T5t3Q2b8U', 'oo1CCSBHO20', 'bvnabiI1YfQ', '9GWlLebNDw8', 'bqt2X_3bUOY', 'Q_QQx6lnt7E', 'OGUgQo2h68o', 'NH9uAXFqXm4'}",1209,45,"{'74464632', '298744875', '41668173', '816282120767291392', '4150848041', '1163541022288334848', '1393233232699789316', '4353321041', '244112880', '74753359', '226995027', '41905308', '1509592296', '1002973057726779398', '153805750', '1275666149510963202', '2798759391', '1126977006', '55261930', '24335226', '106438553', '770678672', '19736257', '16898857', '19668491', '935173663174905856', '4824224591', '926482707932241920', '1466298729640591361', '32837201', '84555566', '18029079', '1431769767577149452', '72198806', '24611712', '210821882', '887004684938084354', '305797406', '732553075', '1435935164811681796', '17924595', '1390045662', '21372665', '1196503896073670656', '454138567'}",2,2,"{'https://telemetr.io/en/channels/1131473833-gamedevjobs', 'https://telemetr.io/en/channels/2012943229-fightposting'}",76,1282,1282
3,"['donate today', 'donatenow', 'donation today', 'make donation', 'donate', 'll donate', 'donations', 'donation help', 'donation', 'haven donated']",12,11,"{'100057937904915', '100063667595963', '100063644254824', '100047190765585', '100079880086076', '100071530598334', '100064759538487', '100071271340383', '100077134855660', '100067303345443', '100057612842528'}",120,12,"{'220258927', '31106924641', '6672372001', '12586824588', '42773412485', '34324366', '225193095', '18268291', '13800157', '8554101042', '3195918348', '50758863013'}",8,8,"{'yXGr-5En8L4', 'cl45rDVBppw', '73Uc8Z4d2FI', '5tabnGFYJBE', 'vMXaekRh2U4', 'DBDkj_txo_o', '_hg4TO56rQk', 'OY_aRJ3ZSKI'}",810,153,"{'1383921575615885314', '880583078845992960', '89172148', '137124405', '1049465747653582848', '1120324746', '4026518639', '17676022', '99182109', '61705043', '226995027', '1509592296', '1650155116777951233', '35900933', '72565586', '153805750', '1328539790', '989567996904357888', '1390903724550156288', '27326924', '367308026', '24335226', '88701664', '83609765', '240813683', '301520162', '172909628', '44347471', '1215497253495816193', '116987275', '1855694533', '18029079', '3229471058', '101889708', '777878930413932549', '159367435', '72056536', '145973349', '74464632', '183796269', '82359475', '1319534929', '1163541022288334848', '4353321041', '2898149812', '50654477', '1275666149510963202', '1442443141022318594', '139234811', '495532074', '335921177', '2565762702', '4673902993', '2679149100', '1328435900527767554', '636123842', '1457917040983937031', '72198806', '3063996411', '1131600862118338561', '17211751', '732553075', '17924595', '290877784', '34065272', '832997779', '298744875', '510931552', '284845544', '41668173', '191445463', '1349430976917733377', '1525009211369082880', '2926980526', '19444865', '937425368', '244112880', '1382295550872141828', '1364818926694109185', '704723372', '768653585911455744', '1251710414452219904', '823893227216470016', '1431825114', '111544641', '439348486', '4132926754', '16729099', '62215517', '1045542522', '770678672', '3323778494', '902822790', '19736257', '1473752400733290498', '1382776278542077957', '76366594', '17108205', '1653819918977216513', '116776616', '1161107215', '768137317504647168', '2903285195', '15780003', '44159391', '801570646157393920', '1061677761012662274', '1196503896073670656', '337931779', '816282120767291392', '1330601054862536706', '4150848041', '1429495042696269829', '29334354', '907847521556471813', '2764572990', '1393233232699789316', '19379076', '33405683', '529334800', '21642672', '25573213', '193414620', '709396233664729088', '491444555', '1443642477043494915', '2956363464', '2798759391', '1126977006', '1434855791308193796', '29561493', '84495877', '19668491', '472315803', '1304447544576167942', '39766020', '20106770', '1059366169847701504', '571025499', '434453732', '926482707932241920', '1147093106069626880', '54203535', '1431769767577149452', '1355164945323683841', '210821882', '233021404', '305797406', '21372665', '1023928763002888193', '96746102', '550529673', '146115076'}",1,1,{'https://telemetr.io/en/channels/1566703919-frogycalls'},185,951,951
2,"['nonprofit', 'animals need', 'k9s', 'fundraiser', 'donations', 'donation', 'vet', 'k9', 'donate', 'help fundraising']",63,33,"{'61554102128027', '100077581116123', '61550754151327', '100070841424559', '61555718670623', '100053949473574', '100064310545258', '100064919792869', '100064911631445', '100069316607969', '100063700893594', '100064718139023', '100063836412271', '100063996761924', '100064761516461', '100064786926837', '100064930530747', '100064518891228', '100064637861617', '100093059950701', '100063667595963', '100064260176576', '100091307329213', '100064653075365', '100064808679790', '100044245938469', '100064585068317', '100064504853681', '100091725639667', '100068672916252', '100068769505268', '100067470891222', '100064584736042'}",497,45,"{'7545848711', '48311043260', '12586824588', '37421360', '426930934', '221350391', '311326714', '3521287788', '383088475', '62473909178', '220258927', '31149514', '31106924641', '40138370214', '490660973', '62409315873', '409347718', '13800157', '4618303837', '58455088419', '270894642', '64053909150', '42773412485', '34324366', '199805942', '8554101042', '5850406045', '3195918348', '10723109', '50758863013', '451626599', '6672372001', '5622413587', '527117560', '216823538', '225193095', '7385649383', '18268291', '3017824962', '11198256754', '3988156745', '14982644485', '3233035848', '5481419375', '5349682054'}",17,17,"{'Y_bEljQEFNA', 'Gbh_iTz2JjM', 'eHxpqS-YBdM', 'WUBMPqzBL6I', 's2pywKhngzA', 'hCjQL9sBSQA', '-pza8fv40b4', 'pirWgxxWXVA', 'gZvoTFhnOWI', 'OVTWjbg5o3I', 'M_PPYI0X4k4', 'LeshgkkO7HE', 'xpeSPMhcoiE', '5xStv-oE_d0', 'YOBv-u2-bss', '2uabwdYMzVk', '2b5YdK8Nzzw'}",102,30,"{'74464632', '284845544', '337931779', '816282120767291392', '435055396', '91416716', '1393233232699789316', '1364818926694109185', '25573213', '491444555', '1443642477043494915', '2798759391', '2260491445', '1442443141022318594', '1045542522', '1584144228329857024', '770678672', '1442158490324140035', '19736257', '1445003279230963728', '1304447544576167942', '39766020', '1161107215', '926482707932241920', '44159391', '1355164945323683841', '210821882', '122068746', '72056536', '1435935164811681796'}",0,0,set(),125,679,679
1,"['help donation', 'need donation', 'donation tonight', 'need groceries', 'aid fundraiser', 'donation match', 'donations', 'groceries 50', 'donation', 'today donation']",10,5,"{'100090262355733', '100063667595963', '100063479291085', '100044495141406', '100056007833992'}",49,16,"{'220258927', '31106924641', '6672372001', '12586824588', '42773412485', '34324366', '225193095', '18268291', '13800157', '221350391', '199805942', '8554101042', '3195918348', '10723109', '311326714', '50758863013'}",4,4,"{'mYizhwpTxCA', 'lBY-1f97se4', 'VRhCS4oTAZU', 't0r6xJ-BLr0'}",472,32,"{'10336652', '1383921575615885314', '298744875', '337931779', '82359475', '19444865', '99182109', '907847521556471813', '244112880', '1364818926694109185', '35900933', '768653585911455744', '50654477', '1290299574', '2798759391', '1045542522', '24335226', '770678672', '88701664', '40270657', '19736257', '335921177', '39766020', '20106770', '54203535', '44159391', '801570646157393920', '34065272', '1061677761012662274', '1196503896073670656', '550529673', '145973349'}",0,0,set(),57,535,535
4,"['donate sharjah', 'link sharjah', 'link uae', 'thebigheartuae sharjah', 'shj uae', 'thebigheartuae donations', 'gap donate', 'donate link', 'support donate', 'thebigheartuae donatenow']",24,14,"{'100064379661732', '100064944094649', '100064334843765', '100068058084421', '100064493721816', '100063667595963', '100064656371140', '100083153569527', '100069416839136', '100064348103226', '100071960765227', '100064531936128', '100093324527783', '100094014815659'}",114,12,"{'220258927', '31106924641', '6672372001', '12586824588', '42773412485', '34324366', '225193095', '18268291', '13800157', '8554101042', '3195918348', '50758863013'}",6,6,"{'0OyqmeB4POU', '3jVBu43VGW8', '5TCxpiutAg8', '74Jj3S5Kri8', 'YIpxpPHQBFc', 'VpJ4AjsYp4A'}",330,26,"{'1383921575615885314', '337931779', '877807935493033984', '1525009211369082880', '907847521556471813', '244112880', '74753359', '19397942', '1509592296', '1002973057726779398', '1470567816352915458', '1431825114', '2260491445', '1442443141022318594', '83609765', '280089842', '19736257', '3246140250', '571025499', '116987275', '1855694533', '1328435900527767554', '1466298729640591361', '3241784956', '732553075', '1127125185096761349'}",2,1,{'https://telemetr.io/en/channels/1134669863-doctorfasil'},59,476,476
12,"['donate gently', 'donation center', 'donateitems', 'donating', 'donate', 'pennywise resale', 'donations', 'donation', 'like donate', 'donate today']",6,6,"{'100042175465702', '100090262355733', '100057379003033', '100090600882162', '100063505392548', '100038066414007'}",132,24,"{'12586824588', '37421360', '426930934', '221350391', '311326714', '383088475', '62473909178', '220258927', '31106924641', '13800157', '42773412485', '34324366', '199805942', '8554101042', '5850406045', '3195918348', '10723109', '50758863013', '6672372001', '225193095', '18268291', '3017824962', '3233035848', '5349682054'}",7,7,"{'JU044K_yCvU', 'TSkccYtxMgQ', 'kv8VJWIb80s', '_tIYrjBEczE', '4s3DFmPHxcY', 'JDX82Os0fZI', 'uQCoCFNkrfo'}",282,43,"{'1383921575615885314', '589883314', '298744875', '337931779', '41668173', '82359475', '4026518639', '1163541022288334848', '19444865', '91416716', '33405683', '19379076', '2898149812', '704723372', '25573213', '823893227216470016', '486534404', '491444555', '2798759391', '2352467130', '40249956', '16729099', '1045542522', '770678672', '83609765', '29561493', '19736257', '335921177', '19668491', '20106770', '172909628', '76366594', '17108205', '1161107215', '768137317504647168', '2903285195', '54203535', '101889708', '210821882', '1478304398', '1061677761012662274', '1196503896073670656', '96746102'}",0,0,set(),80,427,427
5,"['donations salvation', 'donate salvation', 'salvation army', 'making donation', 'donations', 'donation', 'donate', 'relief efforts', 'donation just', 'salvationarmyus']",4,3,"{'729143073', '100070660025256', '100063667595963'}",29,20,"{'12586824588', '188530008', '3179360396', '31106924641', '3311889252', '25142358624', '1686365270', '45362928008', '42773412485', '197579536', '34324366', '8554101042', '3195918348', '56263569411', '46160568072', '6672372001', '225193095', '18268291', '8977038079', '5567130125'}",8,8,"{'a0oBv0nVdyE', '36rTVi9wHD0', 'kI5IiWrF42M', 'zpVRx505C9w', 'yk10ziKkzaE', 'iuYErs6kzpU', 'X7yIvHSosPw', 'XX5RYJs1hLQ'}",385,56,"{'1383921575615885314', '96746102', '298744875', '337931779', '41668173', '816282120767291392', '1049465747653582848', '137124405', '82359475', '2926980526', '4026518639', '19444865', '937425368', '19379076', '74753359', '19397942', '1509592296', '72565586', '25573213', '153805750', '1257039208277069824', '50654477', '388500413', '491444555', '1290299574', '2798759391', '1442443141022318594', '16729099', '1126977006', '1045542522', '770678672', '1434855791308193796', '83609765', '19736257', '16898857', '19668491', '335921177', '146115076', '39766020', '1161107215', '768137317504647168', '926482707932241920', '1466298729640591361', '2903285195', '54203535', '3241784956', '44159391', '72198806', '887004684938084354', '210821882', '34065272', '52406934', '1196503896073670656', '454138567', '550529673', '145973349'}",0,0,set(),87,426,426
6,"['child wish', 'make wish', 'wishes children', 'make wishes', 'grant wishes', 'donation makeawish', 'wish kids', 'donation make', 'wishes kids', 'donate makeawish']",9,7,"{'100063667595963', '100063589570049', '100060284378512', '61553480295605', '100064544903322', '100039496489871', '100079283511827'}",30,17,"{'31106924641', '6672372001', '12586824588', '42773412485', '37421360', '34324366', '3233035848', '225193095', '18268291', '3017824962', '62473909178', '426930934', '8554101042', '5850406045', '3195918348', '5349682054', '383088475'}",1,1,{'x34tFCjNsuw'},342,29,"{'510931552', '337931779', '816282120767291392', '1049465747653582848', '82359475', '1163541022288334848', '907847521556471813', '2764572990', '19379076', '1509592296', '25573213', '193414620', '2956363464', '2798759391', '16729099', '1045542522', '19736257', '935173663174905856', '39766020', '571025499', '1855694533', '926482707932241920', '2161062757', '2903285195', '211371663', '210821882', '1478304398', '1196503896073670656', '145973349'}",0,0,set(),54,382,382
13,"['donations veterans', 'veterans thankful', 'supporting veterans', 'donations pantry', 'food donations', 'veterans need', 'veterans thank', 'help veterans', 'homeless veterans', 'veterans families']",3,2,"{'100079880086076', '100063667595963'}",31,15,"{'220258927', '383088475', '12586824588', '42773412485', '37421360', '62473909178', '18268291', '3017824962', '13800157', '426930934', '3233035848', '5850406045', '3195918348', '5349682054', '50758863013'}",9,9,"{'kjPGbTgNSw4', 'Zz6ybg2in-I', 'PDQbOvp40ho', 'UUvFU2DnC9Q', 'u4J7au3V9Ww', 'mdA4RTYKQAQ', '3gNLmAlSnNY', 'z__L2ZkWU4k', 'xrNH-IBDcf8'}",251,43,"{'74464632', '337931779', '816282120767291392', '1171060303011962880', '82359475', '4026518639', '4150848041', '29334354', '99182109', '33405683', '937425368', '91416716', '2898149812', '704723372', '72565586', '25573213', '50654477', '491444555', '2956363464', '2798759391', '16729099', '1126977006', '1045542522', '83609765', '19736257', '335921177', '19668491', '39766020', '1161107215', '1855694533', '768137317504647168', '2903285195', '54203535', '44159391', '210821882', '122068746', '290877784', '34065272', '1061677761012662274', '1196503896073670656', '96746102', '550529673', '145973349'}",0,0,set(),69,294,294
8,"['telegram video', 'video unavailable', 'анастасиз', 'родители', 'analytics музыка', 'александр лосев', 'mb игра', 'музыка', 'александр', 'analytics александр']",0,0,set(),2,2,"{'8554101042', '12586824588'}",1,1,{'G1S6YBxKZQo'},0,0,set(),284,64,"{'https://telemetr.io/en/channels/1525866987-dikiidanik', 'https://telemetr.io/en/channels/1320216055-pediatric_uz', 'https://telemetr.io/en/channels/1832102868', 'https://telemetr.io/en/channels/1870713804-TzhVEnVepbE2ZWU6', 'https://telemetr.io/en/channels/2009303448-wylsacomredss', 'https://telemetr.io/en/channels/1787456164-psycho_pharmacologist', 'https://telemetr.io/en/channels/1707143005-a_kuzichev', 'https://telemetr.io/en/channels/1366346975-oleg_blokhin', 'https://telemetr.io/en/channels/1396433804-fatimakhadueva369', 'https://telemetr.io/en/channels/1468546663-leefbewustnederland', 'https://telemetr.io/en/channels/1739117669-bralnm7ps', 'https://telemetr.io/en/channels/1957510026-yaxshilikga', 'https://telemetr.io/en/channels/1564349671-kreginaaaa', 'https://telemetr.io/en/channels/1605847580-mnvZiZ8bBB1jMjIy', 'https://telemetr.io/en/channels/1342300853-zimatv', 'https://telemetr.io/en/channels/1696487516-f6I6tjtIlMcyM2Q6', 'https://telemetr.io/en/channels/1286768378-decheance', 'https://telemetr.io/en/channels/1399529584-raevskiy_live', 'https://telemetr.io/en/channels/1003740416-kashinguru', 'https://telemetr.io/en/channels/1820435526-planetbibizyan', 'https://telemetr.io/en/channels/1417888931', 'https://telemetr.io/en/channels/1252754444', 'https://telemetr.io/en/channels/1152455706-mete0ra', 'https://telemetr.io/en/channels/1306302985-gifki_anime', 'https://telemetr.io/en/channels/1881979256-netvoyotelo', 'https://telemetr.io/en/channels/1620209634-YXQpQOO1H1QyOGVi', 'https://telemetr.io/en/channels/1942371998-rogerxaxaxa', 'https://telemetr.io/en/channels/1123885332-parslivres', 'https://telemetr.io/en/channels/2111383659-sbFnAG-Jly9mNzky', 'https://telemetr.io/en/channels/1679982447-mestb_dobroj_voli', 'https://telemetr.io/en/channels/1619203889-sadovyygid', 'https://telemetr.io/en/channels/1634214154-rostok_pitomnik', 'https://telemetr.io/en/channels/1473208008-V89eyOHN3JahCkVJ', 'https://telemetr.io/en/channels/1304726139-potomstvenniy', 'https://telemetr.io/en/channels/1317068049-geography_trophy', 'https://telemetr.io/en/channels/1615251793-tomlausen', 'https://telemetr.io/en/channels/1539288756-igor_medov', 'https://telemetr.io/en/channels/1616738774-slavicrod', 'https://telemetr.io/en/channels/1475096946-forkidsfuture', 'https://telemetr.io/en/channels/1978105560-UGluPffN_lUyN2Iy', 'https://telemetr.io/en/channels/1910046289-Ey5Zby_3r9o0NWYy', 'https://telemetr.io/en/channels/1676791446-letrachetllllll', 'https://telemetr.io/en/channels/1658118535-losevlive', 'https://telemetr.io/en/channels/1577177753-SrOy25rx6kU1M2My', 'https://telemetr.io/en/channels/1618329606-egorikvtge', 'https://telemetr.io/en/channels/1213346929-explosivemikechannel', 'https://telemetr.io/en/channels/2080276403-cryptodiaryx', 'https://telemetr.io/en/channels/1292866766-volodymyrzolkin', 'https://telemetr.io/en/channels/1696332580-FEvZ2nVKn8U0NzRi', 'https://telemetr.io/en/channels/1607782593-tkachuk_aliaksey', 'https://telemetr.io/en/channels/1984316055-esoteric_meetings_8channel', 'https://telemetr.io/en/channels/1594606318-lenina1977', 'https://telemetr.io/en/channels/2075709730-Pnjsm0UjkLY3ZGMy', 'https://telemetr.io/en/channels/1243786658-cbUY6jTCuXIwNzIy', 'https://telemetr.io/en/channels/1849286586-akhmad1408', 'https://telemetr.io/en/channels/1443592630-pedalzaotvagu', 'https://telemetr.io/en/channels/1839282843-l66C_w7N5Ww0NWU1', 'https://telemetr.io/en/channels/1679983145-onastaasis', 'https://telemetr.io/en/channels/1361657579-casandooverbo', 'https://telemetr.io/en/channels/1497691084-e4KhI-0onLMzYTEy', 'https://telemetr.io/en/channels/1801404831-kinofromirm', 'https://telemetr.io/en/channels/1462667851-persdag', 'https://telemetr.io/en/channels/1189243412-mihaylets_pro', 'https://telemetr.io/en/channels/1742476210-musica8daudi'}",67,287,287
